Batch_Name,DATE,COUNTS
Batch20,5/30/2020,34
Batch20,5/31/2020,34
Batch20,6/1/2020,34
Batch20,6/2/2020,34
Batch20,6/3/2020,34
Batch20,6/4/2020,34
Batch20,6/5/2020,34
Batch20,6/6/2020,34
Batch20,6/7/2020,34
Batch20,6/8/2020,34
Batch20,6/9/2020,34
Batch20,6/10/2020,34
Batch20,6/11/2020,34
Batch20,6/12/2020,34
Batch20,6/13/2020,34
Batch20,6/14/2020,34
Batch20,6/15/2020,34
Batch20,6/16/2020,34
Batch20,6/17/2020,34
Batch20,6/18/2020,34
Batch20,6/19/2020,34
Batch20,6/20/2020,34
Batch20,6/21/2020,34
Batch20,6/22/2020,34
Batch20,6/23/2020,34
Batch20,6/24/2020,34
Batch20,6/25/2020,34
Batch20,6/26/2020,34
Batch20,6/27/2020,34
Batch20,6/28/2020,34
Batch20,6/29/2020,34
Batch20,6/30/2020,34
Batch20,7/1/2020,34
Batch20,7/2/2020,34
Batch20,7/3/2020,34
Batch20,7/4/2020,34
Batch20,7/5/2020,34
Batch20,7/6/2020,34
Batch20,7/7/2020,34
Batch20,7/8/2020,34
Batch20,7/9/2020,34
Batch20,7/10/2020,34
Batch20,7/11/2020,34
Batch20,7/12/2020,34
Batch20,7/13/2020,34
Batch20,7/14/2020,34
Batch20,7/15/2020,34
Batch20,7/16/2020,34
Batch20,7/17/2020,34
Batch20,7/18/2020,34
Batch20,7/19/2020,34
Batch20,7/20/2020,34
Batch20,7/21/2020,34
Batch21,5/22/2020,28
Batch21,5/23/2020,28
Batch21,5/24/2020,28
Batch21,5/25/2020,28
Batch21,5/26/2020,28
Batch21,5/27/2020,28
Batch21,5/28/2020,28
Batch21,5/29/2020,28
Batch21,5/30/2020,28
Batch21,5/31/2020,28
Batch21,6/1/2020,28
Batch21,6/2/2020,28
Batch21,6/3/2020,28
Batch21,6/4/2020,28
Batch21,6/5/2020,28
Batch21,6/6/2020,28
Batch21,6/7/2020,28
Batch21,6/8/2020,28
Batch21,6/9/2020,28
Batch21,6/10/2020,28
Batch21,6/11/2020,28
Batch21,6/12/2020,28
Batch21,6/13/2020,28
Batch21,6/14/2020,28
Batch21,6/15/2020,28
Batch21,6/16/2020,28
Batch21,6/17/2020,28
Batch21,6/18/2020,28
Batch21,6/19/2020,28
Batch21,6/20/2020,28
Batch21,6/21/2020,28
Batch21,6/22/2020,28
Batch21,6/23/2020,28
Batch21,6/24/2020,28
Batch21,6/25/2020,28
Batch21,6/26/2020,28
Batch21,6/27/2020,28
Batch21,6/28/2020,28
Batch21,6/29/2020,28
Batch21,6/30/2020,28
Batch21,7/1/2020,28
Batch21,7/2/2020,28
Batch21,7/3/2020,28
Batch21,7/4/2020,28
Batch21,7/5/2020,28
Batch21,7/6/2020,28
Batch21,7/7/2020,28
Batch21,7/8/2020,28
Batch21,7/9/2020,28
Batch21,7/10/2020,28
Batch21,7/11/2020,28
Batch21,7/12/2020,28
Batch21,7/13/2020,28
Batch21,7/14/2020,28
Batch21,7/15/2020,28
Batch21,7/16/2020,28
Batch21,7/17/2020,28
Batch21,7/18/2020,28
Batch21,7/19/2020,28
Batch21,7/20/2020,28
Batch21,7/21/2020,28
Batch22,5/22/2020,14
Batch22,5/23/2020,14
Batch22,5/24/2020,14
Batch22,5/25/2020,14
Batch22,5/26/2020,14
Batch22,5/27/2020,14
Batch22,5/28/2020,14
Batch22,5/29/2020,14
Batch22,5/30/2020,14
Batch22,5/31/2020,14
Batch22,6/1/2020,14
Batch22,6/2/2020,14
Batch22,6/3/2020,14
Batch22,6/4/2020,14
Batch22,6/5/2020,14
Batch22,6/6/2020,14
