LD_INFO_SK,BTCH_NM,LD_STRT_TS,LD_END_TS,LD_DURTN_SCND,LD_STS,TNNT_SK,SRC_CD
1409227,BATCH_50,2020-07-16 16:00:13 EDT,2020-07-16 16:08:38 EDT,505,COMPLETED                                                                       ,1,SRC1
1408795,BATCH_70,2020-07-10 10:23:22 EDT,2020-07-10 10:59:01 EDT,2139,COMPLETED                                                                       ,1,SRC1
1407955,BATCH_52,2020-07-02 00:00:47 EDT,2020-07-02 00:06:51 EDT,364,COMPLETED                                                                       ,1,SRC6
1408075,BATCH_36,2020-07-03 05:10:41 EDT,,,STARTED                                                                         ,1,SRC4
1408195,BATCH_76,2020-07-04 10:00:21 EDT,2020-07-04 10:00:44 EDT,23,COMPLETED                                                                       ,1,SRC1
1408555,BATCH_80,2020-07-08 00:00:35 EDT,2020-07-08 00:07:30 EDT,415,COMPLETED                                                                       ,1,SRC18
1408315,BATCH_64,2020-07-05 17:00:16 EDT,,,STARTED                                                                         ,1,SRC1
1408435,BATCH_67,2020-07-06 23:38:32 EDT,2020-07-06 23:39:50 EDT,78,COMPLETED                                                                       ,1,SRC1
1408915,BATCH_42,2020-07-12 02:36:07 EDT,2020-07-12 02:42:51 EDT,404,COMPLETED                                                                       ,1,SRC1
1409035,BATCH_42,2020-07-14 00:37:31 EDT,2020-07-14 00:44:24 EDT,413,COMPLETED                                                                       ,1,SRC1
1408675,BATCH_46,2020-07-09 06:00:31 EDT,2020-07-09 06:01:05 EDT,34,COMPLETED                                                                       ,1,SRC1
1409155,BATCH_42,2020-07-15 16:36:52 EDT,2020-07-15 16:44:10 EDT,438,COMPLETED                                                                       ,1,SRC1
1409275,BATCH_42,2020-07-17 07:36:41 EDT,2020-07-17 07:59:37 EDT,1376,COMPLETED                                                                       ,1,SRC1
1408124,BATCH_42,2020-07-03 16:34:45 EDT,2020-07-03 16:41:33 EDT,408,COMPLETED                                                                       ,1,SRC1
1408604,BATCH_63,2020-07-08 10:30:20 EDT,2020-07-08 10:48:54 EDT,1114,COMPLETED                                                                       ,1,SRC1
1408724,BATCH_64,2020-07-09 17:00:10 EDT,,,STARTED                                                                         ,1,SRC1
1408244,BATCH_49,2020-07-05 00:00:47 EDT,2020-07-05 00:06:24 EDT,337,COMPLETED                                                                       ,1,SRC5
1408364,BATCH_17,2020-07-06 04:45:05 EDT,2020-07-06 04:54:36 EDT,571,COMPLETED                                                                       ,1,SRC1
1408004,BATCH_42,2020-07-02 13:35:34 EDT,2020-07-02 13:42:19 EDT,405,COMPLETED                                                                       ,1,SRC1
1407884,BATCH_42,2020-07-01 06:35:18 EDT,2020-07-01 06:41:54 EDT,396,COMPLETED                                                                       ,1,SRC1
1408484,BATCH_21,2020-07-07 09:37:52 EDT,2020-07-07 09:38:31 EDT,39,COMPLETED                                                                       ,1,SRC1
1408844,BATCH_1,2020-07-11 02:37:06 EDT,2020-07-11 05:49:28 EDT,11542,COMPLETED                                                                       ,1,SRC1
1408964,BATCH_42,2020-07-13 05:36:30 EDT,2020-07-13 05:43:15 EDT,405,COMPLETED                                                                       ,1,SRC1
1409204,BATCH_36,2020-07-16 10:10:21 EDT,,,STARTED                                                                         ,1,SRC4
1409324,BATCH_72,2020-07-18 00:00:54 EDT,2020-07-18 00:07:05 EDT,371,COMPLETED                                                                       ,1,SRC15
1409084,BATCH_73,2020-07-14 17:00:10 EDT,2020-07-14 17:00:50 EDT,40,COMPLETED                                                                       ,1,SRC16
1408011,BATCH_54,2020-07-02 14:02:01 EDT,2020-07-02 15:06:43 EDT,3882,COMPLETED                                                                       ,1,SRC1
1408251,BATCH_80,2020-07-05 00:00:50 EDT,2020-07-05 00:07:54 EDT,424,COMPLETED                                                                       ,1,SRC18
1408371,BATCH_7,2020-07-06 06:00:22 EDT,2020-07-06 06:17:51 EDT,1049,COMPLETED                                                                       ,1,SRC2
1407891,BATCH_42,2020-07-01 09:35:24 EDT,2020-07-01 09:42:00 EDT,396,COMPLETED                                                                       ,1,SRC1
1408131,BATCH_67,2020-07-03 18:00:11 EDT,2020-07-03 18:01:46 EDT,95,COMPLETED                                                                       ,1,SRC1
1408971,BATCH_36,2020-07-13 06:51:21 EDT,,,STARTED                                                                         ,1,SRC4
1408491,BATCH_63,2020-07-07 10:30:18 EDT,2020-07-07 10:47:07 EDT,1009,COMPLETED                                                                       ,1,SRC1
1408731,BATCH_67,2020-07-09 18:00:14 EDT,2020-07-09 18:01:31 EDT,77,COMPLETED                                                                       ,1,SRC1
1408611,BATCH_42,2020-07-08 11:36:00 EDT,2020-07-08 11:45:13 EDT,553,COMPLETED                                                                       ,1,SRC1
1409091,BATCH_46,2020-07-14 18:30:13 EDT,2020-07-14 18:30:43 EDT,30,COMPLETED                                                                       ,1,SRC1
1408851,BATCH_36,2020-07-11 05:51:49 EDT,,,STARTED                                                                         ,1,SRC4
1409211,BATCH_42,2020-07-16 11:40:22 EDT,2020-07-16 11:50:19 EDT,597,COMPLETED                                                                       ,1,SRC1
1409331,BATCH_42,2020-07-18 02:43:04 EDT,2020-07-18 03:02:47 EDT,1183,COMPLETED                                                                       ,1,SRC1
1408889,BATCH_66,2020-07-11 17:31:25 EDT,2020-07-11 18:06:32 EDT,2107,COMPLETED                                                                       ,1,SRC1
1409009,BATCH_64,2020-07-13 17:00:10 EDT,,,STARTED                                                                         ,1,SRC1
1408049,BATCH_41,2020-07-02 22:04:59 EDT,2020-07-02 22:05:51 EDT,52,COMPLETED                                                                       ,1,SRC1
1407929,BATCH_45,2020-07-01 19:07:48 EDT,2020-07-01 19:08:16 EDT,28,COMPLETED                                                                       ,1,SRC1
1408529,BATCH_53,2020-07-07 19:45:07 EDT,2020-07-07 19:45:33 EDT,26,COMPLETED                                                                       ,1,SRC1
1408289,BATCH_42,2020-07-05 09:34:47 EDT,2020-07-05 09:42:56 EDT,489,COMPLETED                                                                       ,1,SRC1
1408409,BATCH_50,2020-07-06 16:00:16 EDT,2020-07-06 16:38:07 EDT,2271,COMPLETED                                                                       ,1,SRC1
1408649,BATCH_42,2020-07-08 22:31:02 EDT,2020-07-08 22:37:29 EDT,387,COMPLETED                                                                       ,1,SRC1
1408169,BATCH_41,2020-07-04 05:03:33 EDT,2020-07-04 05:04:10 EDT,37,COMPLETED                                                                       ,1,SRC1
1408769,BATCH_41,2020-07-10 05:04:20 EDT,2020-07-10 05:05:04 EDT,44,COMPLETED                                                                       ,1,SRC1
1409249,BATCH_80,2020-07-17 00:00:35 EDT,2020-07-17 00:07:13 EDT,398,COMPLETED                                                                       ,1,SRC18
1409129,BATCH_63,2020-07-15 10:30:18 EDT,2020-07-15 10:54:17 EDT,1439,COMPLETED                                                                       ,1,SRC1
1409010,BATCH_21,2020-07-13 17:30:08 EDT,2020-07-13 17:30:48 EDT,40,COMPLETED                                                                       ,1,SRC1
1408050,BATCH_42,2020-07-02 22:34:46 EDT,2020-07-02 22:41:25 EDT,399,COMPLETED                                                                       ,1,SRC1
1407930,BATCH_36,2020-07-01 19:08:27 EDT,,,STARTED                                                                         ,1,SRC4
1408530,BATCH_53,2020-07-07 19:53:37 EDT,2020-07-07 19:53:59 EDT,22,COMPLETED                                                                       ,1,SRC1
1408290,BATCH_51,2020-07-05 10:00:20 EDT,2020-07-05 10:07:40 EDT,440,COMPLETED                                                                       ,1,SRC1
1408410,BATCH_41,2020-07-06 16:03:58 EDT,2020-07-06 16:04:34 EDT,36,COMPLETED                                                                       ,1,SRC1
1408170,BATCH_42,2020-07-04 05:35:10 EDT,2020-07-04 05:41:51 EDT,401,COMPLETED                                                                       ,1,SRC1
1408650,BATCH_41,2020-07-08 23:04:05 EDT,2020-07-08 23:04:41 EDT,36,COMPLETED                                                                       ,1,SRC1
1408890,BATCH_42,2020-07-11 17:36:40 EDT,2020-07-11 17:44:22 EDT,462,COMPLETED                                                                       ,1,SRC1
1408770,BATCH_42,2020-07-10 05:36:16 EDT,2020-07-10 05:42:49 EDT,393,COMPLETED                                                                       ,1,SRC1
1409250,BATCH_52,2020-07-17 00:00:35 EDT,2020-07-17 00:06:44 EDT,369,COMPLETED                                                                       ,1,SRC6
1409130,BATCH_69,2020-07-15 10:30:18 EDT,2020-07-15 10:52:41 EDT,1343,COMPLETED                                                                       ,1,SRC1
1408838,BATCH_56,2020-07-11 00:00:44 EDT,2020-07-11 00:04:08 EDT,204,COMPLETED                                                                       ,1,SRC8
1408598,BATCH_41,2020-07-08 09:04:03 EDT,2020-07-08 09:04:42 EDT,39,COMPLETED                                                                       ,1,SRC1
1408718,BATCH_77,2020-07-09 15:00:18 EDT,2020-07-09 16:20:47 EDT,4829,COMPLETED                                                                       ,1,SRC1
